,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
1541,2257,983
1542,2071,989
1543,1964,965
1544,1856,805
1545,1551,806
1546,1281,707
1547,1234,788
1548,1439,749
1549,1757,856
1550,1929,961
1551,2113,949
1552,2193,1025
1553,2289,1049
1554,2400,1017
1555,2640,1025
1556,2631,1157
1557,2686,1132
1558,2584,1018
1559,2765,956
1560,2636,1115
1561,2496,1062
1562,2447,1024
1563,2466,1024
1564,2400,929
1565,2252,1023
1566,2076,917
1567,1932,917
1568,1693,908
1569,1385,750
1570,1253,731
1571,1551,880
1572,1779,868
1573,1942,992
1574,2106,1011
1575,2286,1022
1576,2427,1070
1577,2558,1116
1578,2705,1064
1579,2747,1052
1580,2764,1090
1581,2826,1206
1582,2711,1088
1583,2764,1142
1584,2701,1100
1585,2606,1114
1586,2615,1052
1587,2447,1002
1588,2354,1024
1589,2121,1026
1590,1938,948
1591,1742,896
1592,1544,783
1593,1497,806
1594,1717,858
1595,1869,951
1596,2018,857
1597,2188,956
1598,2459,1041
1599,2510,1019
1600,2709,1090
1601,2627,1040
1602,2618,1080
1603,2773,1098
1604,2829,1055
1605,2840,1174
1606,2735,1114
1607,2848,1025
1608,2645,1123
1609,2720,1092
1610,2525,984
1611,2450,1049
1612,2304,1029
1613,2072,947
1614,1808,857
1615,1717,788
1616,1286,747
1617,1490,798
1618,1743,936
1619,1964,889
1620,2011,969
1621,2250,1013
1622,2371,1060
1623,2590,1014
1624,2700,1171
1625,2753,1065
1626,2754,993
1627,2876,1228
1628,2770,1112
1629,2821,1211
1630,2732,1176
1631,2744,1228
1632,2681,1052
1633,2698,1088
1634,2572,1066
1635,2526,1086
1636,2385,985
1637,2208,933
1638,1842,887
1639,1645,808
1640,1328,776
1641,1467,795
1642,1757,873
1643,1945,941
1644,2086,959
1645,2312,966
1646,2327,1067
1647,2583,1159
1648,2653,1115
1649,2662,1105
1650,2753,1155
1651,2784,1160
1652,2710,1155
1653,2823,1063
1654,2873,1132
1655,2871,1167
1656,2699,1125
1657,2725,1097
1658,2625,1077
1659,2509,1001
1660,2462,1038
1661,2165,995
1662,1931,843
1663,1721,881
1664,1338,737
1665,1147,689
1666,1436,756
1667,1744,819
1668,1929,870
1669,2001,968
1670,2290,1039
1671,2482,1067
1672,2502,1012
1673,2646,1173
1674,2762,1115
1675,2772,1146
1676,2850,1196
1677,2822,1155
1678,2772,1239
1679,2723,1111
1680,2741,1066
1681,2764,1087
1682,2582,1089
1683,2566,1075
1684,2478,985
1685,2294,1058
1686,2111,975
1687,1927,886
1688,1699,885
1689,1301,776
1690,1473,816
1691,1712,900
1692,1867,912
1693,2217,957
1694,2285,1081
1695,2403,1015
1696,2687,1011
1697,2694,1069
1698,2639,1097
1699,2712,1050
1700,2744,1112
1701,2820,1141
1702,2840,1114
1703,2847,1175
1704,2700,1183
1705,2608,1079
1706,2585,1116
1707,2577,1090
1708,2488,930
1709,2360,1023
1710,2244,915
1711,1952,943
1712,1737,783
1713,1356,711
1714,1442,794
1715,1585,867
1716,1787,895
1717,1964,937
1718,2284,1054
1719,2461,1132
1720,2489,1039
1721,2577,1121
1722,2689,1072
1723,2919,1135
1724,2859,1054
1725,2854,1150
1726,2903,1167
1727,2879,1146
1728,2717,1127
1729,2498,1074
1730,2598,1049
1731,2599,975
1732,2340,1102
1733,2312,1023
1734,2103,1012
1735,1857,913
1736,1555,790
1737,1373,764
1738,1249,817
1739,1558,876
1740,1810,924
1741,1933,963
1742,2055,1057
1743,2263,1103
1744,2337,1056
1745,2468,1120
1746,2497,1037
1747,2654,1222
1748,2722,1022
1749,2751,1129
1750,2784,1132
1751,2858,1133
1752,2832,1031
1753,2634,1098
1754,2563,1115
1755,2433,994
1756,2297,999
1757,2136,1007
1758,2090,962
1759,1773,878
1760,1523,813
1761,1189,722
1762,1263,740
1763,1448,781
1764,1737,876
1765,1889,880
1766,2107,993
1767,2246,971
1768,2420,1076
1769,2490,1023
1770,2539,1039
1771,2562,1126
