,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
1568,703,1837
1569,692,1978
1570,737,1821
1571,737,1725
1572,694,1705
1573,655,1625
1574,635,1271
1575,717,939
1576,627,738
1577,555,710
1578,621,690
1579,607,783
1580,656,1029
1581,671,1333
1582,632,1563
1583,699,1732
1584,697,1741
1585,681,1865
1586,663,1929
1587,643,2063
1588,630,1937
1589,662,1863
1590,672,1754
1591,680,1572
1592,659,1244
1593,621,944
1594,665,768
1595,663,690
1596,649,674
1597,654,794
1598,610,1092
1599,656,1400
1600,647,1566
1601,699,1738
1602,631,1836
1603,701,1849
1604,654,1959
1605,677,1947
1606,653,1943
1607,650,1923
1608,702,1750
1609,620,1531
1610,665,1248
1611,657,984
1612,647,771
1613,648,718
1614,619,706
1615,662,733
1616,719,1017
1617,684,1303
1618,619,1506
1619,613,1745
1620,682,1736
1621,702,1990
1622,621,1840
1623,690,1829
1624,702,1916
1625,660,1807
1626,671,1709
1627,688,1515
1628,619,1284
1629,631,956
1630,621,726
1631,602,603
1632,624,723
1633,650,836
1634,653,1253
1635,656,1380
1636,695,1604
1637,672,1720
1638,673,1802
1639,699,1810
1640,671,1795
1641,615,1738
1642,668,1723
1643,654,1561
1644,631,1226
1645,573,1100
1646,645,862
1647,605,749
1648,612,653
1649,613,807
1650,637,1032
1651,642,1317
1652,660,1470
1653,633,1636
1654,679,1714
1655,642,1786
1656,647,1805
1657,681,1648
1658,640,1523
1659,649,1420
1660,670,1170
1661,690,845
1662,585,744
1663,621,756
1664,599,665
1665,647,696
1666,648,922
1667,630,1094
1668,664,1301
1669,666,1394
1670,619,1491
1671,643,1476
1672,698,1457
1673,635,1424
1674,633,1486
1675,654,1220
1676,656,1056
1677,614,762
1678,625,766
1679,594,633
1680,608,718
1681,648,851
1682,634,953
1683,627,1175
1684,616,1209
1685,631,1282
1686,588,1378
1687,639,1197
1688,600,1101
1689,666,902
1690,608,799
1691,649,705
1692,636,709
1693,629,678
1694,617,706
1695,593,799
1696,671,922
1697,651,905
1698,672,911
1699,635,905
1700,594,914
1701,647,867
1702,574,738
1703,663,736
1704,628,715
1705,592,653
1706,630,708
1707,594,744
1708,622,782
1709,626,767
1710,654,743
1711,600,733
1712,672,706
1713,653,607
1714,603,674
1715,603,706
1716,1373,778
1717,1442,703
1718,1471,781
1719,1304,712
1720,1417,787
1721,1267,711
1722,1343,818
1723,1468,758
1724,1479,786
1725,1536,763
1726,1536,772
1727,1559,772
1728,1526,818
1729,1566,811
1730,1514,772
1731,1424,736
1732,1534,753
1733,1414,747
1734,1374,713
1735,1372,740
1736,1363,732
1737,1377,746
1738,1521,779
1739,1481,788
1740,1526,769
1741,1614,718
1742,1587,806
1743,1673,826
1744,1669,806
1745,1799,812
1746,1707,842
1747,1667,814
1748,1586,784
1749,1585,784
1750,1566,782
1751,1593,793
1752,1516,804
1753,1466,749
1754,1379,790
1755,1324,774
1756,1309,786
1757,1368,750
1758,1408,763
1759,1543,820
1760,1561,808
1761,1670,801
1762,1639,795
1763,1759,814
1764,1719,841
1765,1682,860
1766,1672,826
1767,1734,844
1768,1659,811
1769,1678,826
1770,1805,795
1771,1665,795
1772,1593,824
1773,1624,830
1774,1592,802
1775,1487,821
1776,1485,813
1777,1485,739
1778,1255,714
1779,1226,695
1780,1239,706
1781,1428,743
1782,1455,724
1783,1503,801
1784,1505,802
1785,1674,809
1786,1751,805
1787,1780,813
1788,1692,873
1789,1815,909
1790,1816,878
1791,1838,877
1792,1866,799
1793,1812,833
1794,1814,847
1795,1874,838
1796,1839,802
1797,1794,813
1798,1777,841
1799,1752,782
1800,1635,792
1801,1608,810
1802,1542,745
1803,1504,785
1804,1485,795
1805,1422,760
1806,1282,698
1807,1300,713
1808,1413,715
1809,1542,758
1810,1603,784
1811,1612,830
1812,1781,852
1813,1793,809
1814,1774,826
1815,1740,868
1816,1940,891
1817,1880,829
1818,1900,811
1819,1842,927
1820,1830,855
1821,1848,874
1822,1905,856
1823,1827,912
1824,1942,859
1825,1896,851
1826,1850,929
1827,1776,827
1828,1774,829
1829,1791,854
1830,1702,831
1831,1744,807
1832,1567,796
1833,1624,773
1834,1392,726
1835,1349,747
1836,1293,675
